imdb_title_identifier,domestic_gross,international_gross,worldwide_gross,name
tt0059742,158671368,0,158671368,The Sound of Music
tt0059800,63595658,0,63595658,Thunderball
tt0059803,13707,0,13707,Time to Die
tt0060107,102021,0,102021,Andrei Rublev
tt0060138,45406,0,45406,Au Hasard Balthazar
tt0060196,25100000,18063,25118063,"The Good, the Bad and the Ugly"
tt0060304,104038,0,104038,2 or 3 Things I Know About Her
tt0060315,25916,0,25916,Django
tt0060371,10233,0,10233,The Endless Summer
tt0060545,18010,0,18010,I Knew Her Well
tt0060647,95209,0,95209,Made in U.S.A
tt0060675,200380,0,200380,Masculin Fï¿½ï¿½ï
tt0060891,30245,2414,32659,The Nun
tt0060908,17646,484,18130,King of Hearts
tt0060959,13692,0,13692,Daisies
tt0061184,28000000,5040,28005040,Who's Afraid of Virginia Woolf?
tt0061328,17161,0,17161,Accident
tt0061395,4063348,12011,4075359,Belle de Jour
tt0061473,36488,0,36488,La Chinoise
tt0061722,104945305,0,104945305,The Graduate
tt0061735,56666667,0,56666667,Guess Who's Coming to Dinner
tt0061747,11000000,0,11000000,Hang 'Em High
tt0061852,141843612,64000000,205843612,The Jungle Book
tt0061913,8132,0,8132,Far from Vietnam
tt0061955,44566,0,44566,The Bride Wore Black
tt0062043,6201,0,6201,A Man Vanishes
tt0062512,43084787,0,43084787,You Only Live Twice
tt0062622,60541301,4350775,64892076,2001: A Space Odyssey
tt0062804,17527,0,17527,The Chronicle of Anna Magdalena Bach
tt0062824,3110000,0,3110000,Coogan's Bluff
tt0062873,91837,0,91837,The Young Girls of Rochefort
tt0062994,52223306,957,52224263,Funny Girl
tt0063032,53074,0,53074,The Great Silence
tt0063152,71717,0,71717,"Je t'aime, je t'aime"
tt0063161,407500,0,407500,Journey to Shiloh
tt0063227,18177,0,18177,The Lion in Winter
tt0063291,29647,0,29647,Memories of Underdevelopment
tt0063350,89029,0,89029,Night of the Living Dead
tt0063374,44527234,0,44527234,The Odd Couple
tt0063442,32589624,0,32589624,Planet of the Apes
tt0063462,111866,0,111866,The Producers
tt0063771,56558,0,56558,The Two of Us
tt0063823,992305,280956,1273261,Yellow Submarine
tt0064040,771956,68766,840722,Army of Shadows
tt0064115,102308889,0,102308889,Butch Cassidy and the Sundance Kid
tt0064276,123276,0,123276,Easy Rider
tt0064285,65051,0,65051,The Wild Child
tt0064418,400881,0,400881,"Hello, Dolly!"
tt0064603,51264000,0,51264000,The Love Bug
